Sehir,Ilk Doz,Ikinci Doz,Toplam Doz
Adana,566.169,338.901,905.070
Adıyaman,128.890,74.149,203.039
Afyon,223.491,132.919,356.410
Ağrı,73.781,36.316,110.097
Amasya,137.162,83.509,220.671
Ankara,2.057.145,1.183.732,3.240.877
Antalya,794.294,502.263,1.296.557
Artvin,64.253,41.475,105.728
Aydın,440.155,278.991,719.146
Balıkesir,527.631,347.366,874.997
Bilecik,84.524,47.283,131.807
Bingöl,45.941,29.249,75.190
Bitlis,37.810,22.443,60.253
Bolu,123.009,72.383,195.392
Burdur,102.882,63.684,166.566
Bursa,927.455,522.593,1.450.048
Çanakkale,243.107,155.640,398.747
Çankırı,65.407,44.004,109.411
Çorum,189.349,116.457,305.806
Denizli,355.180,203.405,558.585
Diyarbakır,228.706,128.256,356.962
Edirne,179.746,119.079,298.825
Elazığ,151.762,96.691,248.453
Erzincan,73.210,46.754,119.964
Erzurum,161.819,101.807,263.626
Eskişehir,360.737,207.043,567.780
Gaziantep,372.758,195.981,568.739
Giresun,169.111,119.252,288.363
Gümüşhane,34.166,23.415,57.581
Hakkari,31.807,12.980,44.787
Hatay,380.638,212.694,593.332
Isparta,165.989,103.117,269.106
Mersin,556.020,335.756,891.776
İstanbul,4.462.353,2.305.546,6.767.899
İzmir,1.634.189,966.236,2.600.425
Kars,62.363,36.206,98.569
Kastamonu,143.613,95.932,239.545
Kayseri,401.837,237.956,639.793
Kırklareli,154.391,95.799,250.190
Kırşehir,85.453,52.723,138.176
Kocaeli,569.672,306.072,875.744
Konya,586.647,357.783,944.430
Kütahya,200.586,117.969,318.555
Malatya,228.862,141.840,370.702
Manisa,491.024,270.690,761.714
Kahramanmaraş,240.478,142.127,382.605
Mardin,91.127,50.385,141.512
Muğla,452.100,268.430,720.530
Muş,47.699,27.693,75.392
Nevşehir,97.528,56.774,154.302
Niğde,96.585,57.627,154.212
Ordu,280.926,180.443,461.369
Rize,113.802,74.864,188.666
Sakarya,292.870,176.082,468.952
Samsun,424.846,277.519,702.365
Siirt,34.522,18.621,53.143
Sinop,86.949,59.380,146.329
Sivas,192.590,120.100,312.690
Tekirdağ,327.308,199.291,526.599
Tokat,201.497,132.569,334.066
Trabzon,274.360,178.011,452.371
Tunceli,34.587,22.387,56.974
Şanlıurfa,195.745,103.317,299.062
Uşak,128.006,77.641,205.647
Van,162.826,83.707,246.533
Yozgat,120.742,78.586,199.328
Zonguldak,215.978,133.843,349.821
Aksaray,98.016,59.989,158.005
Bayburt,18.845,12.397,31.242
Karaman,74.606,46.492,121.098
Kırıkkale,90.059,56.996,147.055
Batman,82.182,46.250,128.432
Şırnak,50.753,21.990,72.743
Bartın,71.307,47.030,118.337
Ardahan,27.427,17.554,44.981
Iğdır,33.902,19.400,53.302
Yalova,102.906,63.797,166.703
Karabük,85.521,54.781,140.302
Kilis,32.685,17.036,49.721
Osmaniye,149.728,92.518,242.246
Düzce,112.941,70.625,183.566
