Sehir,Ilk Doz,Ikinci Doz,Toplam Doz
Adana,565.531,338.874,904.405
Adıyaman,128.745,74.133,202.878
Afyon,223.313,132.906,356.219
Ağrı,73.711,36.308,110.019
Amasya,137.069,83.505,220.574
Ankara,2.055.818,1.183.644,3.239.462
Antalya,793.432,502.222,1.295.654
Artvin,64.198,41.470,105.668
Aydın,439.815,278.960,718.775
Balıkesir,527.214,347.341,874.555
Bilecik,84.421,47.278,131.699
Bingöl,45.921,29.247,75.168
Bitlis,37.782,22.436,60.218
Bolu,122.891,72.378,195.269
Burdur,102.801,63.677,166.478
Bursa,926.666,522.527,1.449.193
Çanakkale,242.899,155.631,398.530
Çankırı,65.367,43.999,109.366
Çorum,189.151,116.447,305.598
Denizli,354.930,203.389,558.319
Diyarbakır,228.528,128.231,356.759
Edirne,179.593,119.064,298.657
Elazığ,151.682,96.677,248.359
Erzincan,73.161,46.751,119.912
Erzurum,161.720,101.796,263.516
Eskişehir,360.466,207.022,567.488
Gaziantep,372.225,195.942,568.167
Giresun,168.992,119.243,288.235
Gümüşhane,34.150,23.410,57.560
Hakkari,31.767,12.979,44.746
Hatay,380.245,212.677,592.922
Isparta,165.842,103.104,268.946
Mersin,555.563,335.733,891.296
İstanbul,4.458.280,2.305.360,6.763.640
İzmir,1.632.950,966.162,2.599.112
Kars,62.308,36.203,98.511
Kastamonu,143.506,95.920,239.426
Kayseri,401.464,237.933,639.397
Kırklareli,154.240,95.798,250.038
Kırşehir,85.392,52.719,138.111
Kocaeli,568.949,306.038,874.987
Konya,586.244,357.764,944.008
Kütahya,200.436,117.949,318.385
Malatya,228.686,141.820,370.506
Manisa,490.520,270.658,761.178
Kahramanmaraş,240.207,142.111,382.318
Mardin,91.004,50.380,141.384
Muğla,451.728,268.405,720.133
Muş,47.672,27.689,75.361
Nevşehir,97.450,56.769,154.219
Niğde,96.522,57.622,154.144
Ordu,280.765,180.433,461.198
Rize,113.690,74.855,188.545
Sakarya,292.453,176.050,468.503
Samsun,424.492,277.495,701.987
Siirt,34.503,18.617,53.120
Sinop,86.903,59.375,146.278
Sivas,192.461,120.090,312.551
Tekirdağ,326.956,199.277,526.233
Tokat,201.416,132.556,333.972
Trabzon,274.185,177.994,452.179
Tunceli,34.570,22.383,56.953
Şanlıurfa,195.600,103.303,298.903
Uşak,127.886,77.637,205.523
Van,162.621,83.693,246.314
Yozgat,120.658,78.578,199.236
Zonguldak,215.803,133.831,349.634
Aksaray,97.934,59.982,157.916
Bayburt,18.839,12.394,31.233
Karaman,74.575,46.484,121.059
Kırıkkale,89.995,56.992,146.987
Batman,82.091,46.246,128.337
Şırnak,50.706,21.987,72.693
Bartın,71.261,47.026,118.287
Ardahan,27.401,17.552,44.953
Iğdır,33.881,19.397,53.278
Yalova,102.842,63.793,166.635
Karabük,85.443,54.776,140.219
Kilis,32.656,17.033,49.689
Osmaniye,149.583,92.511,242.094
Düzce,112.771,70.623,183.394
